STUDCODE,SUBJECT,SCORE,Score_Trend,Rolling_Avg_2Months,Cumulative_Avg_Score,Performance_Stability,Improved,Normalized_Score,Exam_Month,Exam_Quarter,Score_Rank,time_idx
876,MATHS,50.0,0.0,50.0,45.833333333333336,7.216878364870322,0,50.0,9,3,1121.5,2
876,MATHS,54.17,4.170000000000002,52.085,47.917500000000004,2.407550622520736,1,54.17000000000001,10,4,659.5,3
876,MATHS,56.25,2.0799999999999983,55.21,49.584,3.182708490159491,1,56.25,11,4,981.5,4
876,SCIENCE,45.0,0.0,45.0,45.0,0.0,0,45.0,7,3,1442.0,0
876,SCIENCE,50.0,5.0,47.5,47.5,3.5355339059327378,1,50.0,8,3,1305.5,1
876,SCIENCE,40.0,-10.0,45.0,45.0,5.0,0,40.0,9,3,1806.0,2
876,SCIENCE,52.78,12.780000000000001,46.39,46.945,6.721319314936119,1,52.78,10,4,1120.0,3
876,SCIENCE,37.5,-15.280000000000001,45.14,45.056,8.196104765883202,0,37.5,11,4,1944.0,4
878,ENGLISH,37.5,0.0,37.5,37.5,0.0,0,37.5,7,3,1822.0,0
878,ENGLISH,66.67,29.17,52.085,52.085,20.626304807211593,1,66.67,8,3,670.5,1
878,ENGLISH,56.25,-10.420000000000002,61.46,53.473333333333336,14.781902223101511,0,56.25,9,3,1485.5,2
878,ENGLISH,75.0,18.75,65.625,58.855000000000004,9.394393718241384,1,75.0,10,4,213.0,3
878,ENGLISH,58.33,-16.67,66.66499999999999,58.75,10.277627806713632,0,58.32999999999999,11,4,1343.5,4
878,HINDI,65.0,0.0,65.0,65.0,0.0,0,65.0,7,3,743.0,0
878,HINDI,65.0,0.0,65.0,65.0,0.0,0,65.0,8,3,938.5,1
878,HINDI,56.25,-8.75,60.625,62.083333333333336,5.051814855409226,0,56.25,9,3,1318.5,2
878,HINDI,58.33,2.0799999999999983,57.29,61.144999999999996,4.57124709461215,1,58.32999999999999,10,4,837.5,3
878,HINDI,75.0,16.67,66.66499999999999,63.916,10.277627806713635,1,75.0,11,4,528.5,4
878,MATHS,62.5,0.0,62.5,62.5,0.0,0,62.5,7,3,621.0,0
878,MATHS,50.0,-12.5,56.25,56.25,8.838834764831844,0,50.0,8,3,1220.5,1
878,MATHS,50.0,0.0,50.0,54.166666666666664,7.216878364870322,0,50.0,9,3,1121.5,2
878,MATHS,54.17,4.170000000000002,52.085,54.167500000000004,2.407550622520736,1,54.17000000000001,10,4,659.5,3
878,MATHS,62.5,8.329999999999998,58.335,55.834,6.364325049314602,1,62.5,11,4,822.0,4
878,SCIENCE,55.0,0.0,55.0,55.0,0.0,0,55.00000000000001,7,3,922.0,0
878,SCIENCE,45.0,-10.0,50.0,50.0,7.0710678118654755,0,45.0,8,3,1461.5,1
878,SCIENCE,50.0,5.0,47.5,50.0,5.0,1,50.0,9,3,1508.0,2
878,SCIENCE,52.78,2.780000000000001,51.39,50.695,3.942435795292044,1,52.78,10,4,1120.0,3
878,SCIENCE,50.0,-2.780000000000001,51.39,50.556,1.6050337483471653,0,50.0,11,4,1711.5,4
879,ENGLISH,50.0,0.0,50.0,50.0,0.0,0,50.0,7,3,1469.5,0
879,ENGLISH,58.33,8.329999999999998,54.165,54.165,5.89019948728394,1,58.32999999999999,8,3,987.0,1
879,ENGLISH,56.25,-2.0799999999999983,57.29,54.85999999999999,4.335469986056874,0,56.25,9,3,1485.5,2
879,ENGLISH,75.0,18.75,65.625,59.894999999999996,10.277627806713635,1,75.0,10,4,213.0,3
879,ENGLISH,58.33,-16.67,66.66499999999999,59.581999999999994,10.277627806713635,0,58.32999999999999,11,4,1343.5,4
879,HINDI,65.0,0.0,65.0,65.0,0.0,0,65.0,7,3,743.0,0
879,HINDI,65.0,0.0,65.0,65.0,0.0,0,65.0,8,3,938.5,1
879,HINDI,56.25,-8.75,60.625,62.083333333333336,5.051814855409226,0,56.25,9,3,1318.5,2
879,HINDI,41.67,-14.579999999999998,48.96,56.980000000000004,11.785780981052266,0,41.67,10,4,1818.0,3
879,HINDI,70.83,29.159999999999997,56.25,59.75,14.580000000000002,1,70.83,11,4,672.0,4
879,MATHS,62.5,0.0,62.5,62.5,0.0,0,62.5,7,3,621.0,0
879,MATHS,50.0,-12.5,56.25,56.25,8.838834764831844,0,50.0,8,3,1220.5,1
879,MATHS,50.0,0.0,50.0,54.166666666666664,7.216878364870322,0,50.0,9,3,1121.5,2
879,MATHS,50.0,0.0,50.0,53.125,0.0,0,50.0,10,4,895.5,3
879,MATHS,56.25,6.25,53.125,53.75,3.608439182435157,1,56.25,11,4,981.5,4
879,SCIENCE,55.0,0.0,55.0,55.0,0.0,0,55.00000000000001,7,3,922.0,0
879,SCIENCE,35.0,-20.0,45.0,45.0,14.142135623730951,0,35.0,8,3,1722.5,1
879,SCIENCE,50.0,15.0,42.5,46.666666666666664,10.408329997330664,1,50.0,9,3,1508.0,2
879,SCIENCE,52.78,2.780000000000001,51.39,48.195,9.564315622841674,1,52.78,10,4,1120.0,3
879,SCIENCE,68.75,15.969999999999999,60.765,52.306,10.118726863263642,1,68.75,11,4,1017.5,4
881,ENGLISH,62.5,0.0,62.5,62.5,0.0,0,62.5,7,3,992.0,0
881,ENGLISH,75.0,12.5,68.75,68.75,8.838834764831844,1,75.0,8,3,431.5,1
881,ENGLISH,87.5,12.5,81.25,75.0,12.5,1,87.5,9,3,249.0,2
881,ENGLISH,79.17,-8.329999999999998,83.33500000000001,76.0425,6.364325049314604,0,79.17,10,4,161.0,3
881,ENGLISH,58.33,-20.840000000000003,68.75,72.5,15.025441757232965,0,58.32999999999999,11,4,1343.5,4
881,HINDI,67.86,0.0,67.86,67.86,0.0,0,67.86,7,3,638.0,0
881,HINDI,70.0,2.1400000000000006,68.93,68.93,1.5132085117392071,1,70.0,8,3,695.0,1
881,HINDI,60.0,-10.0,65.0,65.95333333333333,5.265599047908353,0,60.0,9,3,1116.5,2
881,HINDI,56.25,-3.75,58.125,63.5275,7.1078008788466605,0,56.25,10,4,966.5,3
881,HINDI,64.29,8.040000000000006,60.27,63.67999999999999,4.023021252740293,1,64.29,11,4,889.5,4
881,MATHS,50.0,0.0,50.0,50.0,0.0,0,50.0,7,3,1076.5,0
881,MATHS,58.33,8.329999999999998,54.165,54.165,5.89019948728394,1,58.32999999999999,8,3,774.5,1
881,MATHS,50.0,-8.329999999999998,54.165,52.776666666666664,4.8093277423495815,0,50.0,9,3,1121.5,2
881,MATHS,50.0,0.0,50.0,52.082499999999996,4.8093277423495815,0,50.0,10,4,895.5,3
881,MATHS,75.0,25.0,62.5,56.666,14.433756729740644,1,75.0,11,4,454.0,4
881,SCIENCE,54.17,0.0,54.17,54.17,0.0,0,54.17000000000001,7,3,1040.5,0
881,SCIENCE,83.33,29.159999999999997,68.75,68.75,20.619233739399725,1,83.33,8,3,272.5,1
881,SCIENCE,62.5,-20.83,72.91499999999999,66.66666666666667,15.01989458462786,0,62.5,9,3,1040.5,2
881,SCIENCE,59.09,-3.4099999999999966,60.795,64.77250000000001,13.121830410934798,0,59.089999999999996,10,4,760.5,3
881,SCIENCE,54.17,-4.920000000000002,56.63,62.652,4.187748002606347,0,54.17000000000001,11,4,1594.0,4
882,ENGLISH,62.5,0.0,62.5,62.5,0.0,0,62.5,7,3,992.0,0
882,ENGLISH,75.0,12.5,68.75,68.75,8.838834764831844,1,75.0,8,3,431.5,1
882,ENGLISH,81.25,6.25,78.125,72.91666666666667,9.547032697824665,1,81.25,9,3,464.5,2
882,ENGLISH,83.33,2.0799999999999983,82.28999999999999,75.52,4.335469986056866,1,83.33,10,4,121.5,3
882,ENGLISH,66.67,-16.659999999999997,75.0,73.75,9.077980685886768,0,66.67,11,4,971.5,4
882,HINDI,78.57,0.0,78.57,78.57,0.0,0,78.57,7,3,286.0,0
882,HINDI,75.0,-3.569999999999993,76.785,76.785,2.5243712088359698,0,75.0,8,3,533.0,1
882,HINDI,70.0,-5.0,72.5,74.52333333333333,4.304838363206369,0,70.0,9,3,659.0,2
882,HINDI,62.5,-7.5,66.25,71.5175,6.291528696058958,0,62.5,10,4,636.5,3
882,HINDI,85.71,23.209999999999994,74.10499999999999,74.356,11.844536011736942,1,85.71,11,4,206.0,4
882,MATHS,50.0,0.0,50.0,50.0,0.0,0,50.0,7,3,1076.5,0
882,MATHS,83.33,33.33,66.66499999999999,66.66499999999999,23.567869016947633,1,83.33,8,3,150.5,1
882,MATHS,50.0,-33.33,66.66499999999999,61.10999999999999,19.243084472090224,0,50.0,9,3,1121.5,2
882,MATHS,65.0,15.0,57.5,62.082499999999996,16.692701998178727,1,65.0,10,4,284.0,3
882,MATHS,75.0,10.0,70.0,64.666,12.58305739211792,1,75.0,11,4,454.0,4
882,SCIENCE,62.5,0.0,62.5,62.5,0.0,0,62.5,7,3,635.0,0
882,SCIENCE,83.33,20.83,72.91499999999999,72.91499999999999,14.729034252115788,1,83.33,8,3,272.5,1
882,SCIENCE,62.5,-20.83,72.91499999999999,69.44333333333333,12.026206107219906,0,62.5,9,3,1040.5,2
882,SCIENCE,59.09,-3.4099999999999966,60.795,66.855,13.121830410934798,0,59.089999999999996,10,4,760.5,3
882,SCIENCE,87.5,28.409999999999997,73.295,70.98400000000001,15.512125364801992,1,87.5,11,4,345.0,4
883,ENGLISH,62.5,0.0,62.5,62.5,0.0,0,62.5,7,3,992.0,0
883,ENGLISH,70.0,7.5,66.25,66.25,5.303300858899107,1,70.0,8,3,550.5,1
883,ENGLISH,81.25,11.25,75.625,71.25,9.437293044088436,1,81.25,9,3,464.5,2
883,ENGLISH,50.0,-31.25,65.625,65.9375,15.827849927685481,0,50.0,10,4,1108.5,3
883,ENGLISH,58.33,8.329999999999998,54.165,64.416,16.182695490348117,1,58.32999999999999,11,4,1343.5,4
883,HINDI,75.0,0.0,75.0,75.0,0.0,0,75.0,7,3,362.5,0
883,HINDI,65.0,-10.0,70.0,70.0,7.0710678118654755,0,65.0,8,3,938.5,1
883,HINDI,60.0,-5.0,62.5,66.66666666666667,7.637626158259735,0,60.0,9,3,1116.5,2
883,HINDI,56.25,-3.75,58.125,64.0625,4.389855730355321,0,56.25,10,4,966.5,3
883,HINDI,64.29,8.040000000000006,60.27,64.108,4.0230212527403015,1,64.29,11,4,889.5,4
883,MATHS,50.0,0.0,50.0,50.0,0.0,0,50.0,7,3,1076.5,0
883,MATHS,58.33,8.329999999999998,54.165,54.165,5.89019948728394,1,58.32999999999999,8,3,774.5,1
883,MATHS,50.0,-8.329999999999998,54.165,52.776666666666664,4.8093277423495815,0,50.0,9,3,1121.5,2
883,MATHS,50.0,0.0,50.0,52.082499999999996,4.8093277423495815,0,50.0,10,4,895.5,3
883,MATHS,75.0,25.0,62.5,56.666,14.433756729740644,1,75.0,11,4,454.0,4
883,SCIENCE,50.0,0.0,50.0,50.0,0.0,0,50.0,7,3,1202.0,0
883,SCIENCE,58.33,8.329999999999998,54.165,54.165,5.89019948728394,1,58.32999999999999,8,3,1008.5,1
883,SCIENCE,62.5,4.170000000000002,60.415,56.94333333333333,6.364325049314603,1,62.5,9,3,1040.5,2
883,SCIENCE,52.27,-10.229999999999997,57.385000000000005,55.775,5.144015940877319,0,52.27,10,4,1169.5,3
883,SCIENCE,75.0,22.729999999999997,63.635000000000005,59.620000000000005,11.383876024155098,1,75.0,11,4,771.5,4
885,ENGLISH,56.25,0.0,56.25,56.25,0.0,0,56.25,7,3,1252.5,0
885,ENGLISH,75.0,18.75,65.625,65.625,13.258252147247767,1,75.0,8,3,431.5,1
885,ENGLISH,75.0,0.0,75.0,68.75,10.825317547305483,0,75.0,9,3,681.0,2
885,ENGLISH,41.67,-33.33,58.335,61.980000000000004,19.243084472090224,0,41.67,10,4,1693.5,3
885,ENGLISH,66.67,25.0,54.17,62.918000000000006,17.345882316369302,1,66.67,11,4,971.5,4
885,HINDI,64.29,0.0,64.29,64.29,0.0,0,64.29,7,3,860.5,0
885,HINDI,65.0,0.7099999999999937,64.64500000000001,64.64500000000001,0.5020458146424392,1,65.0,8,3,938.5,1
885,HINDI,65.0,0.0,65.0,64.76333333333334,0.4099186911246266,0,65.0,9,3,931.0,2
885,HINDI,56.25,-8.75,60.625,62.635000000000005,5.051814855409226,0,56.25,10,4,966.5,3
885,HINDI,64.29,8.040000000000006,60.27,62.96600000000001,4.859838817628971,1,64.29,11,4,889.5,4
885,MATHS,50.0,0.0,50.0,50.0,0.0,0,50.0,7,3,1076.5,0
885,MATHS,58.33,8.329999999999998,54.165,54.165,5.89019948728394,1,58.32999999999999,8,3,774.5,1
885,MATHS,50.0,-8.329999999999998,54.165,52.776666666666664,4.8093277423495815,0,50.0,9,3,1121.5,2
885,MATHS,55.0,5.0,52.5,53.332499999999996,4.1928073331997195,1,55.00000000000001,10,4,558.5,3
885,MATHS,75.0,20.0,65.0,57.666,13.228756555322958,1,75.0,11,4,454.0,4
885,SCIENCE,50.0,0.0,50.0,50.0,0.0,0,50.0,7,3,1202.0,0
885,SCIENCE,75.0,25.0,62.5,62.5,17.67766952966369,1,75.0,8,3,463.5,1
885,SCIENCE,87.5,12.5,81.25,70.83333333333333,19.094065395649334,1,87.5,9,3,304.5,2
885,SCIENCE,65.91,-21.590000000000003,76.705,69.60249999999999,10.83978935834703,0,65.91,10,4,504.0,3
885,SCIENCE,62.5,-3.4099999999999966,64.205,68.18199999999999,13.55701663346329,0,62.5,11,4,1267.0,4
886,ENGLISH,56.25,0.0,56.25,56.25,0.0,0,56.25,7,3,1252.5,0
886,ENGLISH,60.0,3.75,58.125,58.125,2.6516504294495533,1,60.0,8,3,850.5,1
886,ENGLISH,87.5,27.5,73.75,67.91666666666667,17.062996024536055,1,87.5,9,3,249.0,2
886,ENGLISH,66.67,-20.83,77.08500000000001,67.605,14.34473073989191,0,66.67,10,4,373.5,3
886,ENGLISH,66.67,0.0,66.67,67.418,12.0262061072199,0,66.67,11,4,971.5,4
886,HINDI,75.0,0.0,75.0,75.0,0.0,0,75.0,7,3,362.5,0
886,HINDI,65.0,-10.0,70.0,70.0,7.0710678118654755,0,65.0,8,3,938.5,1
886,HINDI,60.0,-5.0,62.5,66.66666666666667,7.637626158259735,0,60.0,9,3,1116.5,2
886,HINDI,56.25,-3.75,58.125,64.0625,4.389855730355321,0,56.25,10,4,966.5,3
886,HINDI,64.29,8.040000000000006,60.27,64.108,4.0230212527403015,1,64.29,11,4,889.5,4
886,MATHS,50.0,0.0,50.0,50.0,0.0,0,50.0,7,3,1076.5,0
886,MATHS,58.33,8.329999999999998,54.165,54.165,5.89019948728394,1,58.32999999999999,8,3,774.5,1
886,MATHS,50.0,-8.329999999999998,54.165,52.776666666666664,4.8093277423495815,0,50.0,9,3,1121.5,2
886,MATHS,55.0,5.0,52.5,53.332499999999996,4.1928073331997195,1,55.00000000000001,10,4,558.5,3
886,MATHS,75.0,20.0,65.0,57.666,13.228756555322958,1,75.0,11,4,454.0,4
886,SCIENCE,62.5,0.0,62.5,62.5,0.0,0,62.5,7,3,635.0,0
886,SCIENCE,58.33,-4.170000000000002,60.415,60.415,2.9486352775479046,0,58.32999999999999,8,3,1008.5,1
886,SCIENCE,87.5,29.17,72.91499999999999,69.44333333333333,15.775919413249214,1,87.5,9,3,304.5,2
886,SCIENCE,56.82,-30.68,72.16,66.2875,17.29369538300013,0,56.82000000000001,10,4,844.5,3
886,SCIENCE,70.83,14.009999999999998,63.825,67.196,15.35920679375512,1,70.83,11,4,925.5,4
887,ENGLISH,62.5,0.0,62.5,62.5,0.0,0,62.5,7,3,992.0,0
887,ENGLISH,65.0,2.5,63.75,63.75,1.7677669529663689,1,65.0,8,3,795.0,1
887,ENGLISH,81.25,16.25,73.125,69.58333333333333,10.180659769058849,1,81.25,9,3,464.5,2
887,ENGLISH,62.5,-18.75,71.875,67.8125,10.180659769058849,0,62.5,10,4,510.5,3
887,ENGLISH,66.67,4.170000000000002,64.58500000000001,67.584,9.844861603902823,1,66.67,11,4,971.5,4
887,HINDI,71.43,0.0,71.43,71.43,0.0,0,71.43,7,3,447.5,0
887,HINDI,70.0,-1.4300000000000068,70.715,70.715,1.0111626970967678,0,70.0,8,3,695.0,1
887,HINDI,60.0,-10.0,65.0,67.14333333333333,6.2274901311309465,0,60.0,9,3,1116.5,2
887,HINDI,56.25,-3.75,58.125,64.42,7.107800878846656,0,56.25,10,4,966.5,3
887,HINDI,64.29,8.040000000000006,60.27,64.394,4.0230212527402855,1,64.29,11,4,889.5,4
887,MATHS,50.0,0.0,50.0,50.0,0.0,0,50.0,7,3,1076.5,0
887,MATHS,58.33,8.329999999999998,54.165,54.165,5.89019948728394,1,58.32999999999999,8,3,774.5,1
887,MATHS,75.0,16.67,66.66499999999999,61.10999999999999,12.729740767195537,1,75.0,9,3,377.0,2
887,MATHS,50.0,-25.0,62.5,58.332499999999996,12.729740767195535,0,50.0,10,4,895.5,3
887,MATHS,75.0,25.0,62.5,61.666,14.433756729740649,1,75.0,11,4,454.0,4
887,SCIENCE,66.67,0.0,66.67,66.67,0.0,0,66.67,7,3,470.0,0
887,SCIENCE,75.0,8.329999999999998,70.83500000000001,70.83500000000001,5.890199487283935,1,75.0,8,3,463.5,1
887,SCIENCE,87.5,12.5,81.25,76.39,10.484335935098605,1,87.5,9,3,304.5,2
887,SCIENCE,54.55,-32.95,71.025,70.93,16.634076469705192,0,54.55,10,4,1058.5,3
887,SCIENCE,75.0,20.450000000000003,64.775,71.744,16.634076469705192,1,75.0,11,4,771.5,4
888,ENGLISH,68.75,0.0,68.75,68.75,0.0,0,68.75,7,3,734.0,0
888,ENGLISH,75.0,6.25,71.875,71.875,4.419417382415922,1,75.0,8,3,431.5,1
888,ENGLISH,100.0,25.0,87.5,81.25,16.535945694153693,1,100.0,9,3,38.5,2
888,ENGLISH,58.33,-41.67,79.16499999999999,75.52,20.97330763931463,0,58.32999999999999,10,4,671.0,3
888,ENGLISH,58.33,0.0,58.33,72.082,24.05818571713171,0,58.32999999999999,11,4,1343.5,4
888,HINDI,78.57,0.0,78.57,78.57,0.0,0,78.57,7,3,286.0,0
888,HINDI,70.0,-8.569999999999993,74.285,74.285,6.059905114768707,0,70.0,8,3,695.0,1
888,HINDI,60.0,-10.0,65.0,69.52333333333333,9.294172009024432,0,60.0,9,3,1116.5,2
888,HINDI,62.5,2.5,61.25,67.7675,5.204164998665326,1,62.5,10,4,636.5,3
888,HINDI,85.71,23.209999999999994,74.10499999999999,71.356,14.177201181239303,1,85.71,11,4,206.0,4
888,MATHS,50.0,0.0,50.0,50.0,0.0,0,50.0,7,3,1076.5,0
888,MATHS,83.33,33.33,66.66499999999999,66.66499999999999,23.567869016947633,1,83.33,8,3,150.5,1
888,MATHS,50.0,-33.33,66.66499999999999,61.10999999999999,19.243084472090224,0,50.0,9,3,1121.5,2
888,MATHS,67.5,17.5,58.75,62.707499999999996,16.671971489099107,1,67.5,10,4,230.5,3
888,MATHS,75.0,7.5,71.25,65.166,12.829003598617216,1,75.0,11,4,454.0,4
888,SCIENCE,87.5,0.0,87.5,87.5,0.0,0,87.5,7,3,96.5,0
888,SCIENCE,75.0,-12.5,81.25,81.25,8.838834764831844,0,75.0,8,3,463.5,1
888,SCIENCE,87.5,12.5,81.25,83.33333333333333,7.216878364870324,1,87.5,9,3,304.5,2
888,SCIENCE,70.45,-17.049999999999997,78.975,80.1125,8.828504969699003,0,70.45,10,4,360.0,3
888,SCIENCE,75.0,4.549999999999997,72.725,79.09,8.828504969699003,1,75.0,11,4,771.5,4
889,ENGLISH,62.5,0.0,62.5,62.5,0.0,0,62.5,7,3,992.0,0
889,ENGLISH,70.0,7.5,66.25,66.25,5.303300858899107,1,70.0,8,3,550.5,1
889,ENGLISH,81.25,11.25,75.625,71.25,9.437293044088436,1,81.25,9,3,464.5,2
889,ENGLISH,66.67,-14.579999999999998,73.96000000000001,70.105,7.640111255734434,0,66.67,10,4,373.5,3
889,ENGLISH,58.33,-8.340000000000003,62.5,67.75,11.600706875014128,0,58.32999999999999,11,4,1343.5,4
889,HINDI,67.86,0.0,67.86,67.86,0.0,0,67.86,7,3,638.0,0
889,HINDI,65.0,-2.8599999999999994,66.43,66.43,2.0223253941935306,0,65.0,8,3,938.5,1
889,HINDI,60.0,-5.0,62.5,64.28666666666668,3.9782575750362605,0,60.0,9,3,1116.5,2
889,HINDI,56.25,-3.75,58.125,62.2775,4.389855730355327,0,56.25,10,4,966.5,3
